Company,Job Title,Industry,Location,Employment Type,Experience Level,Remote Flexibility,Salary (Annual),Currency,Years of Experience,Job Satisfaction Score (1-10),Perks,Last Promotion (Years Ago),TechStack1,TechStack2
Tesla,DevOps Engineer,Media,Boston,Part-time,Senior,Remote,163853.67,USD,5.7,1,Health Insurance,1,R,Tableau
Adobe,Product Manager,Healthcare,Boston,Part-time,Mid,Remote,142205.64,GBP,4.9,2,Flexible Hours,3.21,Java,Spring
Tesla,DevOps Engineer,Retail,Austin,Full-time,Entry,Hybrid,60356.53,INR,0.6,10,Flexible Hours,3.64,R,Tableau
Netflix,UX Designer,Retail,Remote,Full-time,Lead,Onsite,62313.39,USD,10.6,1,Remote Stipend,3.43,Go,Kubernetes
Apple,Product Manager,Education,San Francisco,Contract,Senior,Onsite,174162.6,INR,7.6,7,Gym Membership,3.49,Java,Spring
Salesforce,Software Engineer,Finance,Seattle,Internship,Mid,Onsite,126747.89,GBP,8.2,1,Flexible Hours,1.05,Java,Spring
IBM,Data Scientist,Media,Austin,Internship,Lead,Hybrid,144856.63,AUD,7.1,3,Stock Options,1.42,C#,.NET
IBM,Product Manager,Tech,Boston,Part-time,Senior,Remote,167115.69,EUR,0.4,4,Remote Stipend,4.25,R,Tableau
Microsoft,UX Designer,Education,Chicago,Part-time,Lead,Hybrid,97940.99,EUR,9.8,1,Gym Membership,1.09,Python,SQL
Salesforce,UX Designer,Tech,Remote,Part-time,Entry,Hybrid,52667.65,GBP,10,9,Flexible Hours,4.75,Go,Kubernetes
Adobe,Data Scientist,Media,Remote,Internship,Lead,Remote,156421.43,GBP,6.8,4,Flexible Hours,3.83,C#,.NET
Salesforce,UX Designer,Media,New York,Contract,Lead,Remote,151302.63,EUR,4.1,6,Stock Options,0.69,Go,Kubernetes
Apple,UX Designer,Media,New York,Part-time,Entry,Hybrid,99291.89,AUD,7,1,Gym Membership,1.95,JavaScript,React
IBM,DevOps Engineer,Tech,Boston,Internship,Lead,Remote,190266.08,INR,11.3,7,Remote Stipend,4,Go,Kubernetes
Apple,UX Designer,Finance,Austin,Internship,Lead,Remote,96105.72,GBP,10.9,8,Remote Stipend,2.67,JavaScript,React
Tesla,Data Scientist,Retail,Chicago,Full-time,Entry,Onsite,102864.17,GBP,2.7,5,Flexible Hours,1.06,R,Tableau
Netflix,Product Manager,Education,Austin,Internship,Senior,Remote,109952.16,AUD,0.8,6,Stock Options,3.91,JavaScript,React
Google,Data Analyst,Finance,New York,Full-time,Mid,Remote,51457.57,USD,8.5,4,Flexible Hours,3.83,R,Tableau
Amazon,Data Scientist,Retail,Chicago,Full-time,Mid,Hybrid,48376.79,USD,13.9,10,Gym Membership,1.98,C#,.NET
Apple,Data Analyst,Retail,Chicago,Part-time,Entry,Onsite,161321.75,AUD,12.1,10,Flexible Hours,2.66,Python,SQL
Netflix,Data Analyst,Retail,Chicago,Contract,Entry,Hybrid,169796.26,USD,6.5,6,Gym Membership,3.54,C#,.NET
Tesla,Software Engineer,Media,Remote,Contract,Lead,Hybrid,104047.66,AUD,4,4,Flexible Hours,4.41,Python,SQL
Apple,UX Designer,Retail,Remote,Internship,Senior,Remote,114032.11,INR,2.7,4,Flexible Hours,1.7,Java,Spring
IBM,DevOps Engineer,Healthcare,Remote,Full-time,Mid,Remote,71030.53,GBP,7.3,4,Gym Membership,3.23,C#,.NET
Adobe,UX Designer,Tech,San Francisco,Contract,Mid,Hybrid,147603.82,INR,10,6,Remote Stipend,2.65,R,Tableau
Tesla,DevOps Engineer,Retail,Austin,Contract,Lead,Hybrid,82125.91,EUR,1.8,4,Stock Options,3.71,Java,Spring
Amazon,Software Engineer,Finance,Chicago,Internship,Senior,Onsite,130229.77,AUD,9,2,Flexible Hours,1.14,JavaScript,React
Amazon,Product Manager,Tech,Chicago,Part-time,Senior,Remote,195630.14,AUD,4.4,3,Gym Membership,0.51,C#,.NET
Google,Data Scientist,Healthcare,Seattle,Internship,Lead,Hybrid,61341.82,USD,3.8,8,Stock Options,2,Python,SQL
Microsoft,Data Scientist,Media,Chicago,Full-time,Mid,Remote,167894.15,INR,1.3,4,Remote Stipend,3.82,Python,SQL
IBM,Data Scientist,Retail,New York,Internship,Lead,Hybrid,80550.03,AUD,14.9,5,Remote Stipend,0.3,Go,Kubernetes
Microsoft,Software Engineer,Media,New York,Contract,Entry,Remote,70777.08,AUD,1.1,1,Gym Membership,3.45,R,Tableau
Adobe,Product Manager,Tech,New York,Contract,Senior,Onsite,176133.14,USD,10.3,5,Remote Stipend,3.31,C#,.NET
Apple,UX Designer,Tech,Remote,Part-time,Mid,Hybrid,170527.3,USD,0.9,5,Remote Stipend,4.61,Go,Kubernetes
Adobe,Data Analyst,Education,Chicago,Contract,Lead,Hybrid,115080.27,GBP,6.6,10,Gym Membership,3.67,Python,SQL
IBM,Product Manager,Tech,San Francisco,Part-time,Entry,Onsite,169641.61,AUD,0.6,3,Remote Stipend,3.26,R,Tableau
Meta,Software Engineer,Retail,Seattle,Internship,Entry,Hybrid,89153.38,INR,4.8,2,Flexible Hours,2.06,JavaScript,React
Adobe,Product Manager,Media,Seattle,Full-time,Lead,Remote,83467.92,INR,1.7,7,Stock Options,3.29,Go,Kubernetes
Salesforce,UX Designer,Education,San Francisco,Part-time,Senior,Onsite,158595.34,GBP,11.4,4,Remote Stipend,0.66,Java,Spring
Meta,UX Designer,Media,Seattle,Full-time,Entry,Onsite,133508.18,EUR,10.6,5,Stock Options,2.76,Go,Kubernetes
Microsoft,Software Engineer,Tech,Seattle,Full-time,Mid,Hybrid,188551.02,INR,7.6,5,Gym Membership,4.9,R,Tableau
Apple,UX Designer,Retail,New York,Internship,Mid,Onsite,116400.95,EUR,13,5,Flexible Hours,4.67,R,Tableau
Salesforce,Product Manager,Tech,Austin,Contract,Lead,Remote,105913.06,GBP,5.2,9,Gym Membership,2.28,Go,Kubernetes
Netflix,Software Engineer,Media,New York,Internship,Mid,Hybrid,37420.04,GBP,10.6,7,Health Insurance,2.48,R,Tableau
Google,Software Engineer,Retail,Remote,Contract,Entry,Hybrid,46950.99,GBP,0.2,3,Health Insurance,0.37,R,Tableau
Meta,Product Manager,Retail,Chicago,Internship,Entry,Hybrid,174898.03,AUD,5.7,6,Gym Membership,4.36,C#,.NET
Google,Data Scientist,Tech,New York,Contract,Mid,Onsite,45364.49,USD,11.4,2,Health Insurance,3.47,R,Tableau
Google,Data Analyst,Healthcare,Boston,Full-time,Senior,Hybrid,93722.99,EUR,3.7,7,Health Insurance,0.85,Go,Kubernetes
Microsoft,Data Scientist,Education,Remote,Part-time,Lead,Onsite,54330.01,GBP,9.6,8,Stock Options,4.49,Java,Spring
Adobe,Product Manager,Media,Remote,Part-time,Entry,Hybrid,190690.06,AUD,4.5,7,Flexible Hours,2.28,C#,.NET
Meta,Software Engineer,Education,Boston,Internship,Entry,Remote,94831.93,INR,8.6,5,Gym Membership,1.37,Python,SQL
IBM,DevOps Engineer,Media,San Francisco,Internship,Senior,Remote,133201.05,INR,3.3,4,Flexible Hours,3.39,Go,Kubernetes
Amazon,DevOps Engineer,Tech,Chicago,Full-time,Senior,Hybrid,35671.97,INR,11,2,Flexible Hours,3.74,Java,Spring
Amazon,Software Engineer,Finance,Boston,Contract,Senior,Remote,73684.91,GBP,14.5,5,Flexible Hours,4.02,C#,.NET
Adobe,Data Analyst,Finance,Boston,Part-time,Lead,Onsite,92181.76,GBP,0.2,9,Gym Membership,1.84,Python,SQL
Meta,Data Scientist,Education,Boston,Contract,Entry,Onsite,69749.72,USD,9.3,9,Remote Stipend,1.11,Java,Spring
Microsoft,DevOps Engineer,Education,Chicago,Contract,Lead,Remote,53762.09,USD,4.6,8,Stock Options,1.17,Python,SQL
Salesforce,Software Engineer,Education,Seattle,Contract,Lead,Onsite,156185.73,EUR,13.3,2,Remote Stipend,2.04,R,Tableau
Meta,Data Analyst,Media,Austin,Part-time,Lead,Hybrid,191594.38,INR,1.5,6,Flexible Hours,0.3,Go,Kubernetes
Meta,Software Engineer,Tech,Boston,Internship,Entry,Onsite,66057.99,AUD,14.6,1,Health Insurance,4.94,Java,Spring
IBM,Software Engineer,Tech,Boston,Part-time,Mid,Remote,85855.12,EUR,11.8,10,Flexible Hours,4.29,Python,SQL
Amazon,Software Engineer,Retail,Austin,Part-time,Entry,Onsite,177296.14,EUR,0.2,4,Flexible Hours,0.08,Go,Kubernetes
Meta,Data Analyst,Finance,Chicago,Internship,Entry,Onsite,40804.87,GBP,11.7,9,Stock Options,2.26,Go,Kubernetes
Apple,Data Scientist,Tech,Chicago,Contract,Lead,Onsite,193884.45,USD,15,7,Stock Options,2.45,R,Tableau
Adobe,Data Analyst,Tech,Austin,Part-time,Entry,Remote,76752.72,AUD,8.2,6,Remote Stipend,2.65,R,Tableau
Adobe,Data Scientist,Retail,Seattle,Full-time,Entry,Onsite,140655.83,AUD,10.8,4,Gym Membership,4.44,R,Tableau
Tesla,Product Manager,Education,Seattle,Internship,Entry,Hybrid,102549.88,INR,5.6,3,Gym Membership,0.34,C#,.NET
Microsoft,Data Analyst,Education,San Francisco,Contract,Mid,Onsite,40196.77,AUD,8.4,2,Flexible Hours,4.37,R,Tableau
Tesla,DevOps Engineer,Tech,Austin,Contract,Senior,Remote,128246.15,EUR,2.3,8,Stock Options,1.75,JavaScript,React
Salesforce,Product Manager,Tech,Boston,Contract,Mid,Hybrid,173676.38,AUD,9.2,9,Remote Stipend,4.65,Python,SQL
Meta,Data Analyst,Finance,Austin,Contract,Senior,Hybrid,31037.98,EUR,8.5,7,Health Insurance,3.7,Python,SQL
Google,Data Analyst,Media,Remote,Part-time,Lead,Hybrid,107119.78,EUR,5.6,6,Remote Stipend,0.42,Go,Kubernetes
Google,Software Engineer,Finance,Boston,Full-time,Entry,Hybrid,105329.21,GBP,7.3,8,Flexible Hours,1.08,R,Tableau
Salesforce,Data Analyst,Healthcare,Seattle,Full-time,Senior,Onsite,145342.66,GBP,7.9,5,Health Insurance,1.98,Python,SQL
IBM,Data Analyst,Tech,New York,Contract,Mid,Remote,159907.35,INR,4.9,1,Gym Membership,0.88,R,Tableau
Tesla,Data Scientist,Media,New York,Contract,Entry,Hybrid,176499.94,USD,6.5,8,Flexible Hours,2.88,Python,SQL
IBM,UX Designer,Media,Chicago,Internship,Senior,Remote,98855.49,INR,2.6,10,Flexible Hours,0.44,R,Tableau
Microsoft,Software Engineer,Education,Remote,Internship,Entry,Hybrid,177989.15,INR,3.3,3,Remote Stipend,3.17,Python,SQL
Salesforce,Data Scientist,Finance,Boston,Contract,Senior,Onsite,192897.97,EUR,3.5,3,Health Insurance,0.87,Java,Spring
Amazon,DevOps Engineer,Tech,New York,Internship,Lead,Onsite,159179.12,GBP,10.2,10,Remote Stipend,1.62,C#,.NET
Netflix,Software Engineer,Education,San Francisco,Internship,Lead,Onsite,81479.47,INR,8.9,6,Stock Options,1.55,Go,Kubernetes
Adobe,Data Analyst,Tech,Austin,Contract,Entry,Onsite,176922.51,USD,9.2,9,Gym Membership,2.9,R,Tableau
Google,UX Designer,Retail,Chicago,Part-time,Senior,Onsite,110856.93,EUR,14.4,8,Flexible Hours,4.91,Python,SQL
Microsoft,Data Scientist,Media,New York,Full-time,Mid,Onsite,104418.91,GBP,7.9,10,Flexible Hours,1.86,JavaScript,React
Meta,UX Designer,Education,Boston,Contract,Entry,Onsite,140041.91,USD,4.9,9,Gym Membership,1.42,C#,.NET
IBM,Software Engineer,Healthcare,San Francisco,Part-time,Senior,Hybrid,194508.41,GBP,1.9,2,Remote Stipend,1.88,Java,Spring
Netflix,Software Engineer,Media,Chicago,Full-time,Lead,Onsite,91510.78,INR,4.6,4,Gym Membership,0.96,Java,Spring
Amazon,Software Engineer,Tech,Austin,Full-time,Entry,Onsite,87249.94,AUD,2,7,Health Insurance,0.9,JavaScript,React
IBM,Software Engineer,Media,Seattle,Full-time,Lead,Hybrid,144981.7,EUR,14.5,10,Gym Membership,1.17,Java,Spring
Apple,Product Manager,Education,Boston,Part-time,Senior,Onsite,191012.13,GBP,6.9,5,Remote Stipend,2.64,R,Tableau
Amazon,Software Engineer,Retail,New York,Contract,Entry,Onsite,111700.41,INR,8.3,2,Remote Stipend,4.26,C#,.NET
Meta,Data Analyst,Finance,Austin,Internship,Mid,Hybrid,45591.31,EUR,12.3,6,Gym Membership,0.27,Python,SQL
Salesforce,Product Manager,Finance,Seattle,Full-time,Senior,Remote,34791.88,USD,12.6,6,Health Insurance,0.19,JavaScript,React
Adobe,DevOps Engineer,Finance,Boston,Internship,Lead,Onsite,30892.7,USD,0.3,4,Remote Stipend,4.7,JavaScript,React
IBM,Data Scientist,Education,San Francisco,Contract,Mid,Hybrid,50714.22,EUR,6.3,10,Stock Options,0.55,R,Tableau
Adobe,Data Scientist,Retail,San Francisco,Part-time,Mid,Hybrid,102970.61,AUD,5.3,10,Health Insurance,3.32,R,Tableau
Microsoft,Data Scientist,Healthcare,San Francisco,Full-time,Lead,Hybrid,37400.85,GBP,14.7,5,Stock Options,1.79,C#,.NET
Microsoft,Product Manager,Finance,Chicago,Full-time,Senior,Remote,37537.07,AUD,5.1,3,Gym Membership,4.9,C#,.NET
Adobe,DevOps Engineer,Finance,Boston,Part-time,Entry,Onsite,161952.37,GBP,0.6,4,Health Insurance,4.43,Python,SQL
Netflix,Product Manager,Retail,Seattle,Internship,Senior,Remote,158059.46,EUR,4.3,1,Flexible Hours,1.37,C#,.NET
Netflix,UX Designer,Education,Chicago,Internship,Lead,Hybrid,195533.01,GBP,10.4,6,Flexible Hours,4.01,Go,Kubernetes
Tesla,Data Analyst,Education,Remote,Part-time,Senior,Hybrid,47441.64,INR,9.9,5,Remote Stipend,3.59,R,Tableau
Amazon,DevOps Engineer,Education,Austin,Internship,Entry,Onsite,177906.32,INR,9.2,7,Stock Options,0.38,Java,Spring
Tesla,Product Manager,Retail,Boston,Part-time,Entry,Remote,174273.78,GBP,0.5,2,Flexible Hours,1.81,JavaScript,React
IBM,Data Analyst,Retail,New York,Internship,Senior,Hybrid,105469.68,USD,8.6,9,Gym Membership,1.57,Java,Spring
Meta,Software Engineer,Tech,San Francisco,Part-time,Lead,Onsite,95787.85,AUD,1.8,5,Gym Membership,1.07,C#,.NET
IBM,Product Manager,Media,Seattle,Part-time,Entry,Remote,174980.47,GBP,2.6,8,Flexible Hours,3.34,Python,SQL
Microsoft,Data Scientist,Retail,Austin,Contract,Mid,Onsite,150625.84,EUR,11.9,9,Stock Options,4.93,JavaScript,React
Amazon,Software Engineer,Education,San Francisco,Contract,Senior,Hybrid,166622.49,AUD,1.9,2,Flexible Hours,1.99,Python,SQL
Adobe,Data Scientist,Education,Boston,Internship,Entry,Remote,195304.55,USD,6.7,9,Health Insurance,4.39,Java,Spring
Salesforce,DevOps Engineer,Retail,New York,Part-time,Lead,Onsite,184821.09,USD,12.5,9,Flexible Hours,0.82,JavaScript,React
Netflix,DevOps Engineer,Finance,Austin,Contract,Entry,Hybrid,63371.33,AUD,4.1,5,Remote Stipend,0.47,Go,Kubernetes
Amazon,Data Scientist,Retail,New York,Part-time,Senior,Onsite,37003.03,USD,1.2,10,Health Insurance,3.83,Java,Spring
Tesla,Data Scientist,Media,San Francisco,Internship,Senior,Onsite,192630.53,GBP,3.7,7,Gym Membership,0.36,Java,Spring
Google,Software Engineer,Education,Seattle,Internship,Lead,Remote,87832.74,EUR,4.7,6,Flexible Hours,4.88,C#,.NET
Amazon,Product Manager,Retail,Remote,Full-time,Senior,Remote,109300.34,INR,6.7,3,Stock Options,1.45,Python,SQL
Tesla,Data Scientist,Education,New York,Part-time,Senior,Onsite,152591.83,EUR,11.4,8,Gym Membership,2.49,Go,Kubernetes
Meta,UX Designer,Tech,San Francisco,Internship,Lead,Remote,66574.55,INR,0.7,5,Remote Stipend,4.41,R,Tableau
Adobe,Product Manager,Retail,San Francisco,Full-time,Lead,Remote,180017.47,INR,11.5,6,Gym Membership,0.26,Python,SQL
Salesforce,Software Engineer,Healthcare,Remote,Contract,Entry,Hybrid,115723.44,AUD,4.2,10,Remote Stipend,0.59,C#,.NET
Microsoft,UX Designer,Healthcare,Boston,Contract,Senior,Remote,63839.84,AUD,6,1,Stock Options,0.69,Python,SQL
Netflix,UX Designer,Retail,Seattle,Part-time,Mid,Hybrid,188332.69,INR,2.4,10,Flexible Hours,2.97,C#,.NET
Salesforce,Data Scientist,Retail,Seattle,Contract,Lead,Remote,92620.83,USD,14.7,10,Stock Options,2.98,Java,Spring
Meta,DevOps Engineer,Retail,Remote,Part-time,Entry,Onsite,111676.29,AUD,9.4,10,Health Insurance,4.11,R,Tableau
Apple,Data Analyst,Retail,Chicago,Full-time,Mid,Remote,104976.56,GBP,2.3,4,Remote Stipend,3.87,R,Tableau
Adobe,DevOps Engineer,Media,San Francisco,Part-time,Mid,Onsite,85258.42,GBP,7.9,6,Gym Membership,4.56,JavaScript,React
Netflix,Data Scientist,Healthcare,Chicago,Contract,Lead,Remote,192747.36,INR,8.4,4,Flexible Hours,3.52,Java,Spring
Adobe,Product Manager,Education,Austin,Contract,Senior,Remote,127491.06,AUD,5.7,7,Health Insurance,1.45,Java,Spring
Meta,DevOps Engineer,Tech,Austin,Internship,Senior,Onsite,111443.47,EUR,12.4,5,Flexible Hours,0.69,Go,Kubernetes
IBM,DevOps Engineer,Retail,New York,Part-time,Entry,Onsite,183881.31,EUR,9.6,1,Gym Membership,1.65,Python,SQL
Adobe,Data Analyst,Media,Boston,Part-time,Entry,Onsite,196244.82,EUR,6.1,8,Health Insurance,3.78,R,Tableau
Meta,Product Manager,Healthcare,Chicago,Full-time,Entry,Onsite,127602.67,AUD,11.1,1,Gym Membership,4.41,JavaScript,React
Amazon,Data Analyst,Education,Boston,Internship,Mid,Onsite,193562.33,INR,13.2,1,Remote Stipend,3.01,Java,Spring
Netflix,Product Manager,Education,Chicago,Internship,Mid,Onsite,109563.53,EUR,12.1,6,Gym Membership,3.24,JavaScript,React
Amazon,Data Analyst,Media,Austin,Contract,Mid,Remote,133862.26,GBP,12.4,9,Stock Options,2,Java,Spring
Microsoft,Software Engineer,Finance,Seattle,Contract,Mid,Remote,74333.5,EUR,6.7,5,Flexible Hours,2.91,Java,Spring
IBM,Data Analyst,Healthcare,Chicago,Contract,Mid,Remote,143523.64,GBP,4.6,7,Remote Stipend,4.62,C#,.NET
Meta,DevOps Engineer,Tech,Chicago,Contract,Senior,Onsite,67544.37,EUR,7.2,8,Remote Stipend,1.87,C#,.NET
Salesforce,UX Designer,Retail,Boston,Part-time,Mid,Onsite,158305.72,USD,7.9,9,Flexible Hours,0.39,C#,.NET
IBM,Data Analyst,Tech,Boston,Part-time,Mid,Remote,85780,AUD,6.6,4,Remote Stipend,2.44,C#,.NET
Salesforce,UX Designer,Tech,Seattle,Part-time,Lead,Hybrid,125864.9,AUD,6.9,5,Stock Options,1.98,C#,.NET
Google,DevOps Engineer,Finance,Remote,Full-time,Entry,Hybrid,88569.91,USD,8.1,1,Gym Membership,0.16,Python,SQL
Tesla,Software Engineer,Finance,Boston,Internship,Senior,Hybrid,106251.31,GBP,5.6,9,Flexible Hours,0.59,JavaScript,React
Salesforce,UX Designer,Retail,New York,Part-time,Entry,Remote,196343.42,GBP,10.1,9,Remote Stipend,1.9,R,Tableau
Apple,Software Engineer,Education,Austin,Part-time,Senior,Remote,189359.76,USD,0.5,7,Stock Options,1.2,Go,Kubernetes
Microsoft,Data Analyst,Retail,San Francisco,Internship,Entry,Remote,155891.98,GBP,6.6,9,Stock Options,0.7,JavaScript,React
Meta,Software Engineer,Media,Remote,Contract,Senior,Remote,81299.95,EUR,14.8,9,Gym Membership,1.5,JavaScript,React
Google,Data Scientist,Retail,Chicago,Part-time,Lead,Onsite,114255.53,INR,14.1,7,Flexible Hours,3.48,Go,Kubernetes
Tesla,Software Engineer,Healthcare,Seattle,Part-time,Lead,Remote,174387.96,INR,12.9,3,Stock Options,2.81,R,Tableau
Tesla,Data Scientist,Retail,New York,Internship,Mid,Hybrid,64567.24,USD,13.8,6,Remote Stipend,3.62,Python,SQL
Apple,Data Analyst,Healthcare,Seattle,Full-time,Entry,Remote,166790.61,AUD,10.9,9,Gym Membership,1.04,JavaScript,React
Netflix,Product Manager,Tech,New York,Part-time,Entry,Onsite,199927.24,GBP,13.7,10,Health Insurance,1.98,C#,.NET
Apple,Data Scientist,Healthcare,Boston,Contract,Lead,Hybrid,120720.52,INR,4.6,6,Gym Membership,2.33,Go,Kubernetes
Adobe,Product Manager,Finance,Austin,Contract,Lead,Remote,125629.2,EUR,11.1,1,Remote Stipend,4.67,Java,Spring
IBM,DevOps Engineer,Education,Austin,Part-time,Mid,Hybrid,69103.17,AUD,12.5,8,Flexible Hours,1.29,Go,Kubernetes
Adobe,DevOps Engineer,Media,Chicago,Internship,Lead,Remote,154571.28,INR,2.5,9,Health Insurance,4.58,R,Tableau
Salesforce,DevOps Engineer,Tech,Remote,Full-time,Entry,Onsite,38247.45,USD,6.2,4,Health Insurance,0.05,Python,SQL
Salesforce,UX Designer,Healthcare,San Francisco,Internship,Lead,Remote,31124.1,AUD,6.2,1,Flexible Hours,2.68,Go,Kubernetes
Meta,Data Analyst,Retail,Boston,Internship,Mid,Remote,186068.3,AUD,2.2,4,Remote Stipend,1.26,Go,Kubernetes
Netflix,Product Manager,Education,San Francisco,Contract,Lead,Hybrid,126050.37,EUR,4.5,2,Stock Options,0.47,C#,.NET
Tesla,UX Designer,Retail,Seattle,Full-time,Entry,Onsite,59135.21,GBP,12.7,6,Stock Options,4.47,Go,Kubernetes
Google,Software Engineer,Finance,Boston,Internship,Senior,Remote,187107.08,INR,13.5,10,Stock Options,0.9,C#,.NET
Netflix,Data Analyst,Finance,Remote,Part-time,Lead,Remote,80877.07,AUD,3.6,7,Remote Stipend,1.66,C#,.NET
Amazon,DevOps Engineer,Media,San Francisco,Contract,Entry,Remote,104305,USD,5.1,10,Gym Membership,4.84,Go,Kubernetes
Netflix,Data Analyst,Media,Austin,Internship,Lead,Remote,90487.9,GBP,6.5,10,Gym Membership,0.43,C#,.NET
IBM,Product Manager,Finance,Chicago,Full-time,Entry,Hybrid,56217.56,EUR,11.1,6,Stock Options,0.46,Java,Spring
Meta,UX Designer,Healthcare,Boston,Contract,Entry,Remote,44840.53,GBP,6.7,9,Gym Membership,0.52,Go,Kubernetes
Microsoft,Product Manager,Retail,San Francisco,Contract,Lead,Remote,79614.05,GBP,11.7,9,Remote Stipend,2.61,JavaScript,React
Tesla,Software Engineer,Finance,Austin,Contract,Senior,Hybrid,54808.92,EUR,6.5,7,Gym Membership,3.91,Java,Spring
Netflix,Product Manager,Finance,Chicago,Internship,Mid,Hybrid,48185.3,INR,0.1,7,Remote Stipend,1.9,Java,Spring
Netflix,UX Designer,Healthcare,Seattle,Part-time,Senior,Hybrid,132545.92,EUR,7.2,3,Flexible Hours,1.46,R,Tableau
Adobe,Data Scientist,Finance,Austin,Internship,Senior,Hybrid,92052.64,AUD,3,9,Remote Stipend,0.13,JavaScript,React
Adobe,DevOps Engineer,Finance,Seattle,Contract,Entry,Hybrid,144406.2,EUR,9.5,4,Health Insurance,3.58,Java,Spring
Tesla,Data Analyst,Education,Remote,Internship,Lead,Onsite,116124.15,GBP,8.2,6,Remote Stipend,2.97,C#,.NET
Microsoft,Data Analyst,Finance,Chicago,Contract,Mid,Onsite,134155.24,AUD,14.8,7,Gym Membership,0.53,Java,Spring
Microsoft,Product Manager,Finance,Remote,Part-time,Lead,Hybrid,96492.81,AUD,10.4,3,Stock Options,2.41,Java,Spring
Meta,UX Designer,Tech,San Francisco,Part-time,Senior,Hybrid,88321.34,EUR,7.8,6,Stock Options,2.19,R,Tableau
